region	p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster
chr1:136065344-136067889	1.35E-45	0.660767703	0.14	0.052	3.72E-40	A16
chr5:24307131-24308373	1.37E-45	0.703275344	0.126	0.044	3.77E-40	A16
chr2:158225071-158227011	1.47E-45	0.609964136	0.162	0.065	4.06E-40	A16
chr18:77731824-77733934	1.85E-45	0.523165194	0.209	0.095	5.10E-40	A16
chr16:23268919-23271176	2.15E-45	0.749612615	0.118	0.04	5.92E-40	A16
chr4:63755747-63756585	2.46E-45	0.708628144	0.132	0.048	6.78E-40	A16
chr18:47349851-47350902	2.98E-45	0.705734564	0.122	0.042	8.22E-40	A16
chr11:20655221-20657616	3.00E-45	0.713595732	0.128	0.046	8.26E-40	A16
chr13:93838872-93840791	3.06E-45	0.790393713	0.101	0.031	8.42E-40	A16
chr18:5833655-5836185	3.12E-45	0.685310455	0.132	0.048	8.60E-40	A16
chr2:156575855-156581596	3.19E-45	0.635175488	0.167	0.069	8.79E-40	A16
chr8:71572113-71573926	5.51E-45	0.559245963	0.19	0.083	1.52E-39	A16
chr1:186714899-186716901	5.67E-45	0.707078745	0.124	0.043	1.56E-39	A16
chr2:164776307-164780363	5.71E-45	0.538523093	0.215	0.101	1.57E-39	A16
chr16:14376549-14378137	8.30E-45	0.628498988	0.157	0.063	2.29E-39	A16
chr9:107483541-107486176	9.99E-45	0.788439415	0.107	0.035	2.75E-39	A16
chr7:101998106-102001681	1.54E-44	0.538376195	0.205	0.094	4.25E-39	A16
chr3:107844057-107845312	1.60E-44	0.69710041	0.133	0.049	4.40E-39	A16
chr8:91955170-91958251	1.68E-44	0.626146385	0.146	0.056	4.64E-39	A16
chr19:7120715-7123437	1.75E-44	0.566440844	0.194	0.087	4.81E-39	A16
chr11:54074445-54076352	1.85E-44	0.507868891	0.205	0.092	5.11E-39	A16
chr5:116442715-116444846	1.97E-44	0.686631056	0.132	0.048	5.44E-39	A16
chr5:136868945-136870950	2.39E-44	0.53799443	0.194	0.086	6.59E-39	A16
chr12:86038959-86040080	2.75E-44	0.714128956	0.115	0.038	7.57E-39	A16
chr19:56972718-56974924	2.96E-44	0.6563499	0.153	0.061	8.16E-39	A16
chr18:78084712-78085753	4.11E-44	0.609673028	0.156	0.062	1.13E-38	A16
chr2:103577564-103579073	4.12E-44	0.666133485	0.138	0.052	1.14E-38	A16
chr3:8830679-8831250	5.46E-44	0.500504975	0.223	0.106	1.50E-38	A16
chr1:74734556-74738043	5.54E-44	0.766280106	0.112	0.038	1.53E-38	A16
chr12:8495843-8497178	5.76E-44	0.670149453	0.132	0.048	1.59E-38	A16
chr3:89510264-89513787	5.78E-44	0.65304287	0.141	0.054	1.59E-38	A16
chr11:119495129-119496873	7.96E-44	0.717947923	0.122	0.043	2.19E-38	A16
chr6:55096859-55099865	8.12E-44	0.629201734	0.159	0.065	2.24E-38	A16
chr12:99305781-99307059	9.52E-44	0.519659977	0.203	0.092	2.62E-38	A16
chr11:102751704-102756040	1.19E-43	0.683836656	0.138	0.052	3.27E-38	A16
chr7:64164502-64167039	1.28E-43	0.548835185	0.194	0.088	3.53E-38	A16
chr18:47192118-47193409	1.31E-43	0.591040254	0.16	0.065	3.60E-38	A16
chr18:75447972-75448876	1.45E-43	0.622796869	0.144	0.055	3.99E-38	A16
chr8:95083590-95086236	1.58E-43	0.733170267	0.124	0.045	4.34E-38	A16
chr19:3957390-3959931	2.17E-43	0.641683131	0.14	0.053	5.98E-38	A16
chr2:160609098-160610666	3.14E-43	0.603784926	0.155	0.062	8.64E-38	A16
chr6:52584082-52584932	6.54E-43	0.507525704	0.212	0.1	1.80E-37	A16
chr11:53524407-53526495	1.04E-42	0.68002048	0.126	0.046	2.88E-37	A16
chr1:90967579-90968313	1.10E-42	0.798012451	0.105	0.034	3.04E-37	A16
chr17:24055954-24059204	1.20E-42	0.793231862	0.103	0.033	3.30E-37	A16
chr12:76466313-76467713	1.26E-42	0.590396763	0.161	0.066	3.46E-37	A16
chr9:25174849-25175697	1.29E-42	0.663470353	0.125	0.045	3.56E-37	A16
chr4:133103338-133104661	1.60E-42	0.636397324	0.144	0.057	4.41E-37	A16
chr9:72692940-72694614	2.08E-42	0.670752769	0.143	0.057	5.73E-37	A16
chr11:88556999-88560076	2.23E-42	0.528893864	0.192	0.087	6.15E-37	A16
chr8:95610640-95613843	2.38E-42	0.588135534	0.172	0.074	6.56E-37	A16
chr11:77872076-77873409	2.39E-42	0.7184436	0.117	0.041	6.58E-37	A16
chr3:85629690-85630592	2.59E-42	0.559247063	0.18	0.079	7.14E-37	A16
chr1:43358258-43358802	2.80E-42	0.750567423	0.101	0.032	7.71E-37	A16
chr12:54263557-54264771	2.93E-42	0.69539301	0.12	0.042	8.07E-37	A16
chr1:6819801-6820835	3.30E-42	0.722092754	0.109	0.037	9.08E-37	A16
chr19:40498335-40500662	3.40E-42	0.509364033	0.214	0.103	9.37E-37	A16
chr1:92717893-92721665	3.80E-42	0.653299739	0.136	0.052	1.05E-36	A16
chr13:114487827-114489013	5.96E-42	0.661455601	0.132	0.05	1.64E-36	A16
chr11:61673473-61676944	5.97E-42	0.578915511	0.163	0.068	1.64E-36	A16
chr5:5372192-5373287	7.14E-42	0.779997964	0.101	0.033	1.97E-36	A16
chr14:34193061-34197503	7.65E-42	0.577336	0.172	0.075	2.11E-36	A16
chr1:88890920-88891852	1.05E-41	0.603088203	0.143	0.056	2.89E-36	A16
chr6:88914742-88916843	1.10E-41	0.712481036	0.114	0.04	3.03E-36	A16
chr5:51607537-51608556	1.13E-41	0.692288003	0.128	0.048	3.12E-36	A16
chr15:59109118-59109936	1.14E-41	0.713354181	0.108	0.036	3.15E-36	A16
chr7:98863164-98865128	1.31E-41	0.752014135	0.109	0.037	3.62E-36	A16
chr8:95259513-95261647	1.40E-41	0.691041252	0.125	0.046	3.87E-36	A16
chr6:72809622-72811477	1.44E-41	0.66804928	0.128	0.047	3.98E-36	A16
chr13:37541705-37542558	1.79E-41	0.518899591	0.198	0.092	4.95E-36	A16
chr15:12847624-12848773	2.11E-41	0.641629375	0.137	0.053	5.81E-36	A16
chr16:38360089-38361433	2.19E-41	0.578436601	0.152	0.061	6.02E-36	A16
chr7:66801434-66802723	2.46E-41	0.759876051	0.107	0.036	6.79E-36	A16
chr17:28005529-28011712	2.84E-41	0.558563177	0.181	0.081	7.82E-36	A16
chr1:37306420-37308658	3.00E-41	0.726886942	0.112	0.039	8.25E-36	A16
chr17:45925380-45926668	3.62E-41	0.661446619	0.127	0.047	9.98E-36	A16
chr11:106333882-106334716	3.86E-41	0.788297104	0.103	0.034	1.06E-35	A16
chr17:25661916-25667127	4.40E-41	0.584399239	0.162	0.068	1.21E-35	A16
chr11:96837007-96838579	4.48E-41	0.582776935	0.165	0.07	1.23E-35	A16
chr4:41493309-41495923	5.09E-41	0.623776948	0.135	0.052	1.40E-35	A16
chr13:50957377-50958785	5.20E-41	0.598864564	0.161	0.069	1.43E-35	A16
chr2:180365614-180370029	5.52E-41	0.650555414	0.138	0.054	1.52E-35	A16
chr7:100008886-100010385	5.54E-41	0.742406324	0.108	0.037	1.53E-35	A16
chr3:144622949-144624048	6.84E-41	0.736433293	0.105	0.035	1.88E-35	A16
chr1:166126764-166129103	7.08E-41	0.639728206	0.142	0.057	1.95E-35	A16
chr4:12007697-12009999	8.96E-41	0.576910476	0.168	0.073	2.47E-35	A16
chr18:64492959-64495157	9.60E-41	0.736285939	0.12	0.044	2.65E-35	A16
chr13:56624884-56628361	1.19E-40	0.507598688	0.205	0.097	3.28E-35	A16
chr3:138643902-138646087	1.30E-40	0.587625255	0.163	0.07	3.59E-35	A16
chr10:119105003-119106376	1.91E-40	0.567358534	0.156	0.064	5.28E-35	A16
chr10:41678600-41679428	2.75E-40	0.594402817	0.158	0.067	7.59E-35	A16
chr18:32387282-32390646	3.07E-40	0.534593866	0.182	0.081	8.46E-35	A16
chr13:52120346-52122397	4.55E-40	0.741712771	0.108	0.037	1.25E-34	A16
chr15:76851766-76854024	5.96E-40	0.680418416	0.126	0.047	1.64E-34	A16
chr4:149415540-149418548	6.28E-40	0.719027367	0.11	0.038	1.73E-34	A16
chr2:115592357-115593254	7.66E-40	0.582866861	0.149	0.06	2.11E-34	A16
chr15:76998501-76999669	8.88E-40	0.735096623	0.107	0.037	2.45E-34	A16
chr6:28841334-28843553	9.93E-40	0.535807644	0.183	0.084	2.74E-34	A16
chr7:132726033-132727180	1.05E-39	0.651438806	0.121	0.044	2.89E-34	A16
chr4:128697318-128698908	1.05E-39	0.661299878	0.126	0.047	2.91E-34	A16
chr1:90185491-90187666	1.16E-39	0.598944697	0.147	0.06	3.19E-34	A16
chr5:134417635-134419100	1.23E-39	0.734171345	0.105	0.036	3.38E-34	A16
chr6:89659619-89661279	1.24E-39	0.519251786	0.181	0.081	3.40E-34	A16
chr5:34201097-34202542	1.60E-39	0.711776647	0.105	0.036	4.41E-34	A16
chr15:98114002-98116376	1.74E-39	0.754150514	0.101	0.034	4.80E-34	A16
chr10:96308633-96309874	1.79E-39	0.700480943	0.109	0.038	4.94E-34	A16
chr17:66106532-66107946	4.62E-39	0.63605206	0.134	0.053	1.27E-33	A16
chr11:120050252-120052551	4.76E-39	0.574630864	0.161	0.07	1.31E-33	A16
chr6:114881644-114883927	5.11E-39	0.646315387	0.136	0.054	1.41E-33	A16
chr7:140898880-140901733	5.52E-39	0.613253283	0.138	0.055	1.52E-33	A16
chr8:110930841-110932484	7.29E-39	0.511732002	0.195	0.092	2.01E-33	A16
chr7:132753271-132755399	7.53E-39	0.60214517	0.136	0.054	2.08E-33	A16
chr12:85522427-85525570	8.08E-39	0.686397332	0.109	0.039	2.23E-33	A16
chr4:62459913-62460904	9.20E-39	0.66416847	0.123	0.046	2.53E-33	A16
chr4:134041396-134043356	9.66E-39	0.538239019	0.167	0.073	2.66E-33	A16
chr11:118790708-118795080	1.11E-38	0.625045612	0.134	0.053	3.05E-33	A16
chr4:45274961-45276859	1.17E-38	0.665579208	0.116	0.042	3.21E-33	A16
chr13:109388622-109389280	1.19E-38	0.696590105	0.112	0.04	3.28E-33	A16
chr16:87567363-87568591	1.20E-38	0.57731907	0.146	0.06	3.32E-33	A16
chr7:144647104-144649084	1.45E-38	0.726820636	0.103	0.035	4.00E-33	A16
chr13:100518889-100520078	1.64E-38	0.672938995	0.109	0.039	4.52E-33	A16
chr8:94369600-94371283	1.98E-38	0.716393729	0.105	0.037	5.44E-33	A16
chr4:63429726-63432320	2.02E-38	0.595389064	0.138	0.055	5.57E-33	A16
chr1:35879124-35880310	2.19E-38	0.509188675	0.173	0.076	6.04E-33	A16
chr11:102984073-102985547	2.27E-38	0.640366469	0.131	0.051	6.25E-33	A16
chr15:75657156-75660448	2.64E-38	0.672338494	0.129	0.051	7.26E-33	A16
chr17:56343255-56346150	2.85E-38	0.733455913	0.107	0.038	7.84E-33	A16
chr2:113115109-113116206	2.95E-38	0.512349843	0.186	0.087	8.14E-33	A16
chr8:125384426-125386276	3.74E-38	0.528675147	0.176	0.08	1.03E-32	A16
chr11:58210179-58211599	3.81E-38	0.693847054	0.113	0.041	1.05E-32	A16
chr15:77068203-77069473	4.25E-38	0.519163368	0.184	0.085	1.17E-32	A16
chr8:13187264-13190239	4.73E-38	0.647625114	0.13	0.051	1.30E-32	A16
chr18:57407491-57408326	6.17E-38	0.676523111	0.115	0.043	1.70E-32	A16
chr7:27595817-27598426	1.13E-37	0.656523957	0.123	0.047	3.13E-32	A16
chr5:125214824-125216617	1.18E-37	0.710016235	0.113	0.041	3.25E-32	A16
chr2:91329581-91331307	1.49E-37	0.692142936	0.105	0.037	4.11E-32	A16
chr2:165419201-165421034	2.82E-37	0.692050316	0.117	0.044	7.78E-32	A16
chr12:100122941-100126630	2.88E-37	0.530957622	0.172	0.078	7.94E-32	A16
chr2:167316110-167319940	3.02E-37	0.556501123	0.167	0.075	8.32E-32	A16
chr16:24173848-24176534	3.35E-37	0.606818568	0.134	0.054	9.23E-32	A16
chr1:159388131-159389276	3.42E-37	0.623784498	0.124	0.047	9.42E-32	A16
chr9:71874402-71875498	4.92E-37	0.654637326	0.105	0.037	1.35E-31	A16
chr8:105544279-105546837	5.88E-37	0.615343718	0.136	0.056	1.62E-31	A16
chr7:125887309-125889139	1.17E-36	0.695326162	0.107	0.038	3.22E-31	A16
chr15:57726371-57728958	1.51E-36	0.701154873	0.102	0.036	4.16E-31	A16
chr7:143180542-143181612	2.05E-36	0.606698332	0.14	0.058	5.65E-31	A16
chr17:4735027-4735977	2.09E-36	0.710803927	0.101	0.035	5.75E-31	A16
chr7:34972023-34973904	3.44E-36	0.603839952	0.137	0.057	9.48E-31	A16
chr4:33524180-33525379	3.96E-36	0.554349401	0.156	0.069	1.09E-30	A16
chr1:191434603-191436106	4.02E-36	0.664796521	0.115	0.043	1.11E-30	A16
chr6:135559068-135560068	4.31E-36	0.602756734	0.139	0.058	1.19E-30	A16
chr14:69965417-69966800	4.40E-36	0.696152714	0.114	0.043	1.21E-30	A16
chr4:141749244-141750034	5.25E-36	0.659504134	0.115	0.044	1.45E-30	A16
chr8:120525563-120528898	6.01E-36	0.673028709	0.115	0.044	1.66E-30	A16
chr8:110746039-110747342	6.16E-36	0.647100231	0.12	0.046	1.70E-30	A16
chr8:122623291-122629143	6.17E-36	0.578682646	0.145	0.062	1.70E-30	A16
chr15:39907135-39908310	7.29E-36	0.568705522	0.144	0.061	2.01E-30	A16
chr2:148626733-148627612	9.04E-36	0.617597212	0.122	0.047	2.49E-30	A16
chr6:119240300-119242424	1.25E-35	0.639940151	0.119	0.046	3.44E-30	A16
chr3:84061592-84062664	1.40E-35	0.56652715	0.154	0.068	3.85E-30	A16
chr5:135906532-135908380	1.43E-35	0.524498642	0.172	0.08	3.95E-30	A16
chr16:92425844-92427022	1.74E-35	0.678471789	0.108	0.04	4.79E-30	A16
chr14:77174315-77175663	1.81E-35	0.608593997	0.12	0.046	4.99E-30	A16
chr9:121341244-121343753	2.29E-35	0.560359036	0.147	0.063	6.31E-30	A16
chr1:133086640-133088618	2.44E-35	0.610183556	0.128	0.051	6.71E-30	A16
chr12:85120906-85122470	2.63E-35	0.616093358	0.129	0.052	7.25E-30	A16
chr2:29668632-29672091	2.68E-35	0.507966517	0.174	0.082	7.38E-30	A16
chr8:70180144-70182550	2.71E-35	0.71498783	0.103	0.037	7.47E-30	A16
chr4:114937272-114939128	3.01E-35	0.555933141	0.135	0.055	8.30E-30	A16
chr14:27172457-27173815	3.37E-35	0.530695861	0.167	0.077	9.28E-30	A16
chr16:5183001-5186896	3.73E-35	0.516048332	0.169	0.078	1.03E-29	A16
chr8:94395356-94400190	3.96E-35	0.534159546	0.155	0.068	1.09E-29	A16
chr1:180185339-180187555	4.37E-35	0.608830372	0.117	0.045	1.20E-29	A16
chr9:115390461-115391937	4.59E-35	0.522183084	0.169	0.078	1.27E-29	A16
chr1:183309599-183310131	5.76E-35	0.654349341	0.107	0.04	1.59E-29	A16
chr4:83989758-83991695	5.86E-35	0.646324026	0.116	0.045	1.61E-29	A16
chr12:84141228-84143011	6.11E-35	0.51982127	0.152	0.066	1.68E-29	A16
chr2:32944518-32948200	6.39E-35	0.667633864	0.113	0.043	1.76E-29	A16
chr3:146310791-146311757	7.64E-35	0.553773579	0.149	0.065	2.11E-29	A16
chr8:85455909-85457664	9.24E-35	0.537512035	0.149	0.064	2.55E-29	A16
chr1:134232242-134236802	1.10E-34	0.545040949	0.16	0.073	3.02E-29	A16
chr8:27053067-27056245	1.10E-34	0.519752342	0.159	0.072	3.04E-29	A16
chr15:76678080-76679842	1.24E-34	0.60127009	0.134	0.056	3.42E-29	A16
chr3:130940042-130940924	1.37E-34	0.615347305	0.121	0.048	3.78E-29	A16
chr2:27175385-27178558	1.45E-34	0.643571986	0.114	0.044	3.99E-29	A16
chr14:21744208-21745573	1.45E-34	0.668655015	0.111	0.042	4.01E-29	A16
chr19:6330582-6332421	1.60E-34	0.577511812	0.134	0.056	4.40E-29	A16
chr11:75793553-75795567	2.32E-34	0.533538553	0.16	0.073	6.40E-29	A16
chr3:122453571-122454833	2.61E-34	0.675751621	0.104	0.038	7.20E-29	A16
chr7:49371141-49372503	3.28E-34	0.64120686	0.118	0.047	9.03E-29	A16
chr10:95355452-95356363	3.64E-34	0.515065833	0.163	0.075	1.00E-28	A16
chr6:83426436-83428619	3.91E-34	0.695985645	0.101	0.037	1.08E-28	A16
chr13:32929207-32930032	7.53E-34	0.60905648	0.115	0.045	2.08E-28	A16
chr9:118588681-118591901	7.61E-34	0.550379433	0.14	0.06	2.10E-28	A16
chr13:37691097-37692884	8.02E-34	0.593899672	0.127	0.052	2.21E-28	A16
chr11:60363140-60364820	8.77E-34	0.562870447	0.138	0.059	2.42E-28	A16
chr17:71038208-71039315	8.83E-34	0.564749398	0.137	0.058	2.43E-28	A16
chr7:75913699-75914514	9.13E-34	0.509952633	0.165	0.076	2.52E-28	A16
chr13:45469218-45470162	1.20E-33	0.511593429	0.158	0.072	3.31E-28	A16
chr5:35785169-35787274	1.36E-33	0.639069906	0.119	0.048	3.74E-28	A16
chr12:105059997-105060861	1.41E-33	0.651887901	0.104	0.038	3.90E-28	A16
chr2:30031660-30034208	1.44E-33	0.518164827	0.177	0.086	3.96E-28	A16
chr7:86936417-86937800	1.67E-33	0.686116709	0.105	0.04	4.60E-28	A16
chr19:9025503-9028207	1.68E-33	0.647503888	0.116	0.046	4.63E-28	A16
chr5:114677284-114681124	1.84E-33	0.577784982	0.138	0.06	5.06E-28	A16
chr9:59218935-59219944	1.90E-33	0.662784575	0.107	0.041	5.24E-28	A16
chr15:84252723-84256221	1.92E-33	0.60567525	0.128	0.053	5.28E-28	A16
chr4:100055781-100056896	2.17E-33	0.605655911	0.118	0.047	5.98E-28	A16
chr7:73953997-73955669	2.64E-33	0.615316005	0.115	0.045	7.28E-28	A16
chr10:25314103-25314804	3.38E-33	0.614164497	0.117	0.047	9.30E-28	A16
chr7:142573173-142576021	3.69E-33	0.672774001	0.103	0.038	1.02E-27	A16
chr7:143135166-143140410	4.11E-33	0.603103113	0.132	0.056	1.13E-27	A16
chr7:44670493-44671498	4.46E-33	0.659766585	0.121	0.05	1.23E-27	A16
chr9:50700583-50702190	4.96E-33	0.56477654	0.135	0.058	1.37E-27	A16
chrX:99395660-99397696	5.32E-33	0.607334747	0.118	0.047	1.47E-27	A16
chr11:117876438-117880039	9.61E-33	0.580153191	0.13	0.055	2.65E-27	A16
chr4:133193885-133199171	1.22E-32	0.552697759	0.147	0.066	3.37E-27	A16
chr14:21658213-21660306	1.52E-32	0.542636863	0.14	0.061	4.18E-27	A16
chr15:77003081-77004662	1.74E-32	0.567123401	0.138	0.06	4.80E-27	A16
chr6:30682387-30683470	2.11E-32	0.571807807	0.139	0.061	5.82E-27	A16
chr9:62483419-62484770	2.35E-32	0.602246231	0.113	0.044	6.47E-27	A16
chr11:78972838-78974027	2.46E-32	0.570198659	0.13	0.055	6.78E-27	A16
chr13:56678039-56679674	2.62E-32	0.671390368	0.101	0.038	7.21E-27	A16
chr8:126886150-126887862	2.67E-32	0.581616948	0.124	0.051	7.35E-27	A16
chr3:116928306-116929548	2.72E-32	0.554327129	0.135	0.058	7.50E-27	A16
chr8:70666348-70667586	4.32E-32	0.606204036	0.115	0.046	1.19E-26	A16
chr10:31596610-31597599	4.86E-32	0.574817268	0.122	0.05	1.34E-26	A16
chr9:117907128-117908751	4.88E-32	0.581183777	0.129	0.055	1.34E-26	A16
chr1:157002859-157003829	5.84E-32	0.655198995	0.103	0.039	1.61E-26	A16
chr4:16066099-16067079	7.05E-32	0.652117063	0.103	0.039	1.94E-26	A16
chr11:46025466-46027657	7.08E-32	0.517585287	0.153	0.071	1.95E-26	A16
chr8:13349704-13353657	7.35E-32	0.541665764	0.15	0.069	2.02E-26	A16
chr19:41620205-41621636	9.07E-32	0.529937532	0.147	0.067	2.50E-26	A16
chr7:63910603-63912740	1.09E-31	0.618287803	0.12	0.049	3.00E-26	A16
chr10:11196985-11197699	1.13E-31	0.608904831	0.115	0.047	3.11E-26	A16
chr9:32714280-32716690	1.76E-31	0.516005873	0.162	0.078	4.84E-26	A16
chr4:62642962-62644739	1.80E-31	0.525362933	0.149	0.068	4.97E-26	A16
chr6:87989769-87992125	1.89E-31	0.614641634	0.114	0.046	5.21E-26	A16
chr13:43524426-43526785	2.00E-31	0.507782684	0.161	0.076	5.50E-26	A16
chr12:100297857-100302554	2.00E-31	0.536310764	0.153	0.071	5.51E-26	A16
chr7:101016930-101018255	2.30E-31	0.544130887	0.138	0.061	6.34E-26	A16
chr17:30230381-30232386	2.45E-31	0.624553857	0.107	0.042	6.75E-26	A16
chr6:91476204-91477449	3.13E-31	0.641082224	0.101	0.038	8.62E-26	A16
chr8:90893200-90894965	3.26E-31	0.510276644	0.152	0.07	8.99E-26	A16
chr4:62582206-62584639	3.37E-31	0.590820713	0.12	0.049	9.28E-26	A16
chr5:140263619-140265856	3.81E-31	0.680104838	0.104	0.041	1.05E-25	A16
chr15:82214813-82217718	5.01E-31	0.575274164	0.131	0.057	1.38E-25	A16
chr15:34046362-34047214	7.24E-31	0.628005525	0.103	0.04	1.99E-25	A16
chr7:37343026-37345176	7.90E-31	0.562198661	0.124	0.052	2.18E-25	A16
chr12:101011885-101013453	7.91E-31	0.565325919	0.124	0.052	2.18E-25	A16
chr4:107018459-107020408	8.64E-31	0.513159358	0.141	0.063	2.38E-25	A16
chr2:165652913-165654259	9.04E-31	0.62696239	0.108	0.043	2.49E-25	A16
chr11:94590822-94592205	1.36E-30	0.598276921	0.114	0.047	3.74E-25	A16
chr6:99463242-99465366	1.52E-30	0.60361648	0.103	0.039	4.18E-25	A16
chr2:163720992-163723564	2.05E-30	0.501707979	0.163	0.079	5.65E-25	A16
chr5:38346402-38347620	2.08E-30	0.508152917	0.142	0.064	5.73E-25	A16
chr17:12194867-12196373	2.38E-30	0.639235706	0.106	0.042	6.55E-25	A16
chrX:99516251-99518833	3.76E-30	0.551904956	0.135	0.06	1.04E-24	A16
chr15:86144378-86146598	5.03E-30	0.674213678	0.102	0.04	1.39E-24	A16
chr16:30179479-30181726	5.32E-30	0.598082061	0.113	0.047	1.46E-24	A16
chr17:47303321-47307654	6.16E-30	0.570577427	0.123	0.053	1.70E-24	A16
chr11:59930161-59932950	6.28E-30	0.581054866	0.116	0.048	1.73E-24	A16
chr2:92378002-92384068	6.98E-30	0.548125686	0.137	0.062	1.92E-24	A16
chr10:42934313-42935515	8.34E-30	0.526536631	0.142	0.065	2.30E-24	A16
chr1:21040676-21042105	1.05E-29	0.654612631	0.101	0.04	2.90E-24	A16
chr6:124839266-124841866	1.12E-29	0.625702254	0.111	0.046	3.09E-24	A16
chr7:65802805-65804294	1.21E-29	0.586582008	0.113	0.046	3.35E-24	A16
chr8:92349893-92350745	1.29E-29	0.509113888	0.14	0.063	3.56E-24	A16
chr17:84056613-84057823	1.31E-29	0.556588729	0.129	0.057	3.61E-24	A16
chr11:53483159-53484123	1.36E-29	0.553071342	0.135	0.061	3.73E-24	A16
chr18:55133537-55134852	2.24E-29	0.583392627	0.111	0.046	6.18E-24	A16
chr6:99970991-99972195	2.64E-29	0.549779637	0.125	0.054	7.28E-24	A16
chr16:4496628-4499001	2.72E-29	0.608599858	0.105	0.042	7.51E-24	A16
chr9:25526637-25528355	2.74E-29	0.547129858	0.126	0.055	7.55E-24	A16
chr18:35292577-35297063	2.82E-29	0.548838271	0.133	0.06	7.77E-24	A16
chr4:114476913-114478287	3.96E-29	0.52222968	0.14	0.064	1.09E-23	A16
chr18:14330728-14332293	4.70E-29	0.532938172	0.132	0.059	1.29E-23	A16
chr4:139059492-139060436	6.55E-29	0.631855836	0.103	0.041	1.80E-23	A16
chr10:61399225-61401142	6.82E-29	0.591691801	0.117	0.05	1.88E-23	A16
chr2:35718145-35722519	7.11E-29	0.580990404	0.121	0.052	1.96E-23	A16
chr15:81030642-81032377	7.57E-29	0.648634857	0.101	0.04	2.08E-23	A16
chr8:77510478-77511289	8.17E-29	0.535458692	0.13	0.058	2.25E-23	A16
chrX:96134098-96135988	8.36E-29	0.519921667	0.141	0.066	2.30E-23	A16
chr17:14672133-14674161	9.42E-29	0.526102725	0.138	0.063	2.60E-23	A16
chr3:95057767-95058628	1.41E-28	0.581348543	0.106	0.043	3.88E-23	A16
chr17:84572617-84574292	1.86E-28	0.524385009	0.138	0.064	5.12E-23	A16
chr5:120138027-120139731	2.15E-28	0.544216094	0.128	0.057	5.93E-23	A16
chr2:153070356-153072945	2.18E-28	0.626622451	0.104	0.042	6.01E-23	A16
chr16:91898240-91899792	2.28E-28	0.504710097	0.138	0.064	6.27E-23	A16
chr10:14332368-14333145	2.34E-28	0.543141418	0.126	0.056	6.46E-23	A16
chr10:127658143-127660343	2.59E-28	0.633189043	0.105	0.043	7.14E-23	A16
chr8:15059873-15062354	2.75E-28	0.571080553	0.113	0.048	7.59E-23	A16
chr4:20626652-20628033	2.86E-28	0.516149559	0.13	0.058	7.89E-23	A16
chr9:46067263-46068233	8.07E-28	0.532563156	0.136	0.063	2.22E-22	A16
chr6:31157893-31160117	1.35E-27	0.5266778	0.136	0.064	3.72E-22	A16
chr11:59458774-59459789	1.38E-27	0.55772494	0.12	0.053	3.80E-22	A16
chr10:81199170-81202720	1.41E-27	0.586006708	0.117	0.051	3.87E-22	A16
chr11:95569199-95572267	2.49E-27	0.533443169	0.129	0.059	6.86E-22	A16
chr6:72976572-72977555	3.09E-27	0.523952868	0.124	0.056	8.51E-22	A16
chr5:139612271-139614475	5.37E-27	0.590212758	0.109	0.046	1.48E-21	A16
chr17:15087623-15089312	6.44E-27	0.612561024	0.105	0.044	1.77E-21	A16
chr9:7783780-7785855	6.61E-27	0.510748487	0.134	0.062	1.82E-21	A16
chr13:60007061-60008328	9.33E-27	0.538358925	0.117	0.051	2.57E-21	A16
chr7:83089152-83090072	1.14E-26	0.586704599	0.101	0.041	3.15E-21	A16
chr5:25613619-25614944	1.58E-26	0.52540658	0.134	0.063	4.34E-21	A16
chr1:131754234-131755712	1.79E-26	0.571004513	0.114	0.05	4.93E-21	A16
chr11:53819002-53822577	1.80E-26	0.592193413	0.104	0.044	4.95E-21	A16
chr17:45610133-45611539	1.98E-26	0.555074786	0.116	0.051	5.45E-21	A16
chr17:15461584-15462503	2.25E-26	0.579759681	0.109	0.047	6.20E-21	A16
chr11:60854922-60858013	2.51E-26	0.53852714	0.12	0.054	6.92E-21	A16
chr7:126984779-126987995	2.58E-26	0.594467764	0.108	0.046	7.12E-21	A16
chr1:54829886-54830907	2.62E-26	0.567733667	0.106	0.045	7.23E-21	A16
chrX:93287650-93291137	2.97E-26	0.541761892	0.114	0.05	8.20E-21	A16
chr18:57466752-57467833	2.98E-26	0.594187478	0.106	0.045	8.21E-21	A16
chr11:31796217-31797039	4.33E-26	0.548081114	0.111	0.048	1.19E-20	A16
chr9:121335591-121338320	5.74E-26	0.524921122	0.12	0.054	1.58E-20	A16
chr13:30186029-30186928	6.62E-26	0.512546625	0.122	0.055	1.82E-20	A16
chr10:119064792-119066240	2.01E-25	0.57702787	0.105	0.045	5.53E-20	A16
chr15:7118506-7119908	2.70E-25	0.555467323	0.112	0.05	7.44E-20	A16
chr14:57534061-57539102	4.13E-25	0.530202396	0.123	0.057	1.14E-19	A16
chr8:45884606-45886141	4.21E-25	0.511028726	0.122	0.056	1.16E-19	A16
chr2:4503823-4505134	4.55E-25	0.577011186	0.107	0.047	1.25E-19	A16
chr18:62046326-62048052	5.40E-25	0.521142203	0.114	0.051	1.49E-19	A16
chr4:95483468-95484527	5.86E-25	0.517724421	0.12	0.055	1.61E-19	A16
